,Jar,Species,Day,Treatment,Replicate,Community,Community.Complexity,td
45,43,Loxocephallus,0,15,3,Paramecium caudatum + Loxocephalus,2,100
46,43,P.caudatum,0,15,3,Paramecium caudatum + Loxocephalus,2,100
47,44,Loxocephallus,0,15,4,Paramecium caudatum + Loxocephalus,2,100
48,44,P.caudatum,0,15,4,Paramecium caudatum + Loxocephalus,2,100
49,45,Loxocephallus,0,15,5,Paramecium caudatum + Loxocephalus,2,100
50,45,P.caudatum,0,15,5,Paramecium caudatum + Loxocephalus,2,100
51,46,Loxocephallus,0,20,1,Paramecium caudatum + Loxocephalus,2,100
52,46,P.caudatum,0,20,1,Paramecium caudatum + Loxocephalus,2,100
53,47,Loxocephallus,0,20,2,Paramecium caudatum + Loxocephalus,2,100
54,47,P.caudatum,0,20,2,Paramecium caudatum + Loxocephalus,2,100
55,48,Loxocephallus,0,20,3,Paramecium caudatum + Loxocephalus,2,100
56,48,P.caudatum,0,20,3,Paramecium caudatum + Loxocephalus,2,100
57,49,Loxocephallus,0,20,4,Paramecium caudatum + Loxocephalus,2,100
58,49,P.caudatum,0,20,4,Paramecium caudatum + Loxocephalus,2,100
59,50,Loxocephallus,0,20,5,Paramecium caudatum + Loxocephalus,2,100
60,50,P.caudatum,0,20,5,Paramecium caudatum + Loxocephalus,2,100
61,51,Blepharisma,0,15,1,Paramecium caudatum + Blepharisma,2,100
62,51,P.caudatum,0,15,1,Paramecium caudatum + Blepharisma,2,100
63,52,Blepharisma,0,15,2,Paramecium caudatum + Blepharisma,2,100
64,52,P.caudatum,0,15,2,Paramecium caudatum + Blepharisma,2,100
65,53,Blepharisma,0,15,3,Paramecium caudatum + Blepharisma,2,100
66,53,P.caudatum,0,15,3,Paramecium caudatum + Blepharisma,2,100
67,54,Blepharisma,0,15,4,Paramecium caudatum + Blepharisma,2,100
68,54,P.caudatum,0,15,4,Paramecium caudatum + Blepharisma,2,100
69,55,Blepharisma,0,15,5,Paramecium caudatum + Blepharisma,2,100
70,55,P.caudatum,0,15,5,Paramecium caudatum + Blepharisma,2,100
71,56,Blepharisma,0,20,1,Paramecium caudatum + Blepharisma,2,100
72,56,P.caudatum,0,20,1,Paramecium caudatum + Blepharisma,2,100
73,57,Blepharisma,0,20,2,Paramecium caudatum + Blepharisma,2,100
74,57,P.caudatum,0,20,2,Paramecium caudatum + Blepharisma,2,100
75,58,Blepharisma,0,20,3,Paramecium caudatum + Blepharisma,2,100
76,58,P.caudatum,0,20,3,Paramecium caudatum + Blepharisma,2,100
77,59,Blepharisma,0,20,4,Paramecium caudatum + Blepharisma,2,100
78,59,P.caudatum,0,20,4,Paramecium caudatum + Blepharisma,2,100
79,60,Blepharisma,0,20,5,Paramecium caudatum + Blepharisma,2,100
80,60,P.caudatum,0,20,5,Paramecium caudatum + Blepharisma,2,100
81,61,Colpidium,0,15,1,Paramecium caudatum + Colpidium,2,100
82,61,P.caudatum,0,15,1,Paramecium caudatum + Colpidium,2,100
83,62,Colpidium,0,15,2,Paramecium caudatum + Colpidium,2,100
84,62,P.caudatum,0,15,2,Paramecium caudatum + Colpidium,2,100
85,63,Colpidium,0,15,3,Paramecium caudatum + Colpidium,2,100
86,63,P.caudatum,0,15,3,Paramecium caudatum + Colpidium,2,100
87,64,Colpidium,0,15,4,Paramecium caudatum + Colpidium,2,100
88,64,P.caudatum,0,15,4,Paramecium caudatum + Colpidium,2,100
89,65,Colpidium,0,15,5,Paramecium caudatum + Colpidium,2,100
90,65,P.caudatum,0,15,5,Paramecium caudatum + Colpidium,2,100
91,66,Colpidium,0,20,1,Paramecium caudatum + Colpidium,2,100
92,66,P.caudatum,0,20,1,Paramecium caudatum + Colpidium,2,100
93,67,Colpidium,0,20,2,Paramecium caudatum + Colpidium,2,100
94,67,P.caudatum,0,20,2,Paramecium caudatum + Colpidium,2,100
95,68,Colpidium,0,20,3,Paramecium caudatum + Colpidium,2,100
96,68,P.caudatum,0,20,3,Paramecium caudatum + Colpidium,2,100
97,69,Colpidium,0,20,4,Paramecium caudatum + Colpidium,2,100
98,69,P.caudatum,0,20,4,Paramecium caudatum + Colpidium,2,100
99,70,Colpidium,0,20,5,Paramecium caudatum + Colpidium,2,100
100,70,P.caudatum,0,20,5,Paramecium caudatum + Colpidium,2,100
101,71,Blepharisma,0,15,1,Loxocephalus + Blepharisma,2,100
102,71,Loxocephallus,0,15,1,Loxocephalus + Blepharisma,2,100
103,72,Blepharisma,0,15,2,Loxocephalus + Blepharisma,2,100
104,72,Loxocephallus,0,15,2,Loxocephalus + Blepharisma,2,100
