Species,Temperature,Replicate,Time,Density
Spirostomum,30,4,96,0.001
Lepadella,37.5,1,0,0.002
Lepadella,37.5,2,0,0.002
Lepadella,37.5,3,0,0.002
Lepadella,37.5,4,0,0.002
Lepadella,37.5,1,24,0.002
Lepadella,37.5,2,24,0.0005
Lepadella,37.5,3,24,0.002
Lepadella,37.5,4,24,0.001
Lepadella,37.5,1,48,0.002
Lepadella,37.5,2,48,0.0001
Lepadella,37.5,3,48,0.0016
Lepadella,37.5,4,48,0.002
Lepadella,37.5,1,68,0.0002
Lepadella,37.5,2,68,0.0003
Lepadella,37.5,3,68,0.0002
Lepadella,37.5,4,68,0.0006
Lepadella,37.5,1,72,0.0002
Lepadella,37.5,2,72,0.0002
Lepadella,37.5,3,72,0.0002
Lepadella,37.5,4,72,0.0001
Lepadella,37.5,1,90,0.0001
Lepadella,37.5,2,90,0
Lepadella,37.5,3,90,0
Lepadella,37.5,4,90,0
Lepadella,37.5,1,96,0
